player_a,player_b,team_2324,team_2425,min_2324,min_2425,chem_2324,chem_2425
Jrue Holiday,Jaylen Brown,BOS,BOS,1478.4,1220.3,3.89,7.36
Moses Moody,Brandin Podziemski,GSW,GSW,545.5,839.5,12.25,8.72
Jalen Brunson,Miles McBride,NYK,NYK,471.8,693.4,7.73,4.18
Ochai Agbaji,Gradey Dick,TOR,TOR,366.8,889.8,-3.93,-0.36
Nickeil Alexander-Walker,Jaden McDaniels,MIN,MIN,643.4,945.0,5.61,2.03
Andrew Nembhard,Obi Toppin,IND,IND,420.2,585.1,2.64,-0.96
Luguentz Dort,Aaron Wiggins,OKC,OKC,393.0,616.4,4.2,7.81
Derrick White,Sam Hauser,BOS,BOS,732.9,773.6,11.7,8.05
Dorian Finney-Smith,Cam Thomas,BKN,BKN,869.7,333.2,-0.39,3.29
Zach LaVine,Coby White,CHI,CHI,697.0,766.8,-2.77,0.93
LaMelo Ball,Brandon Miller,CHA,CHA,361.3,466.4,-6.81,-3.1
Keldon Johnson,Jeremy Sochan,SAS,SAS,1126.4,671.4,-2.7,1.01
Max Strus,Evan Mobley,CLE,CLE,1073.8,716.6,-2.03,1.74
Keegan Murray,Keon Ellis,SAC,SAC,618.0,1069.0,-0.77,3.02
Amir Coffey,Terance Mann,LAC,LAC,451.7,319.1,-11.07,-7.23
Dillon Brooks,Alperen Şengün,HOU,HOU,1392.1,1749.2,-0.44,3.45
Dennis Schröder,Cam Thomas,BKN,BKN,511.2,366.0,-0.94,2.95
Kristaps Porziņģis,Jaylen Brown,BOS,BOS,1355.3,807.6,5.75,1.84
Julian Champagnie,Jeremy Sochan,SAS,SAS,810.6,603.3,0.8,4.73
Caris LeVert,Jarrett Allen,CLE,CLE,1074.0,536.6,0.73,4.71
Myles Turner,Aaron Nesmith,IND,IND,1226.7,740.6,6.41,10.4
Shai Gilgeous-Alexander,Jalen Williams,OKC,OKC,571.4,483.1,1.64,5.66
LeBron James,Jaxson Hayes,LAL,LAL,461.7,775.1,-1.69,-5.73
Anthony Edwards,Jaden McDaniels,MIN,MIN,1713.2,2144.7,2.41,-1.64
Devin Vassell,Jeremy Sochan,SAS,SAS,1652.9,769.9,-3.37,0.68
Cade Cunningham,Jaden Ivey,DET,DET,1235.2,520.0,-3.07,-7.13
Darius Garland,Dean Wade,CLE,CLE,329.0,750.5,4.55,8.62
Joel Embiid,Kelly Oubre Jr.,PHI,PHI,607.7,396.0,-7.01,-2.9
Deandre Ayton,Shaedon Sharpe,POR,POR,567.0,644.1,-8.0,-3.89
Cole Anthony,Anthony Black,ORL,ORL,358.3,395.1,-0.85,3.26
Amen Thompson,Cam Whitmore,HOU,HOU,545.2,366.7,-5.77,-1.65
De'Aaron Fox,Kevin Huerter,SAC,SAC,1080.7,568.8,3.87,-0.25
James Harden,Ivica Zubac,LAC,LAC,1365.6,2185.9,-1.63,2.5
Donovan Mitchell,Jarrett Allen,CLE,CLE,1406.7,1217.6,-0.88,3.34
Jeremy Sochan,Victor Wembanyama,SAS,SAS,1249.5,483.1,-5.64,-1.33
Shai Gilgeous-Alexander,Aaron Wiggins,OKC,OKC,398.0,903.7,2.0,6.31
Andrew Wiggins,Brandin Podziemski,GSW,GSW,806.2,337.4,5.46,1.15
Naz Reid,Anthony Edwards,MIN,MIN,1234.7,1394.3,4.41,0.09
Anfernee Simons,Kris Murray,POR,POR,525.8,392.7,-2.08,2.24
Anthony Davis,Cam Reddish,LAL,LAL,722.9,314.7,-5.35,-9.71
T.J. McConnell,Obi Toppin,IND,IND,764.8,797.1,0.4,-3.98
Trey Lyles,Malik Monk,SAC,SAC,807.9,556.7,6.8,2.36
Jerami Grant,Anfernee Simons,POR,POR,790.7,1013.3,-12.18,-7.73
Tyrese Haliburton,Bennedict Mathurin,IND,IND,698.4,1371.7,-5.56,-1.08
Keldon Johnson,Tre Jones,SAS,SAS,866.9,365.9,-0.06,4.45
Bogdan Bogdanović,Trae Young,ATL,ATL,913.8,318.2,0.88,5.41
Georges Niang,Darius Garland,CLE,CLE,830.1,383.1,6.27,1.71
Trae Young,Onyeka Okongwu,ATL,ATL,854.5,1406.0,-3.1,1.48
Michael Porter Jr.,Christian Braun,DEN,DEN,541.0,1882.2,3.84,8.45
De'Aaron Fox,Malik Monk,SAC,SAC,1085.4,810.5,-2.06,2.56
Dalano Banton,Jabari Walker,POR,POR,394.5,354.6,-11.84,-7.2
Fred VanVleet,Amen Thompson,HOU,HOU,629.0,1042.1,4.57,-0.07
Stephen Curry,Brandin Podziemski,GSW,GSW,908.7,651.8,1.34,6.03
Cole Anthony,Paolo Banchero,ORL,ORL,878.8,538.9,-2.82,-7.52
Andrew Nembhard,Aaron Nesmith,IND,IND,1102.1,788.0,6.92,11.63
Aaron Gordon,Christian Braun,DEN,DEN,475.3,1083.7,7.37,12.1
Devin Vassell,Victor Wembanyama,SAS,SAS,1222.5,715.4,-3.35,-8.08
Norman Powell,Terance Mann,LAC,LAC,497.4,326.8,0.27,-4.46
Cade Cunningham,Simone Fontecchio,DET,DET,338.5,455.7,0.23,5.0
Duncan Robinson,Tyler Herro,MIA,MIA,429.4,953.4,0.21,4.99
Nikola Jokić,Christian Braun,DEN,DEN,780.3,2091.9,3.65,-1.16
Nic Claxton,Cam Thomas,BKN,BKN,1153.0,378.7,-7.58,-2.73
Deandre Ayton,Toumani Camara,POR,POR,791.5,975.0,-0.9,-5.75
LeBron James,D'Angelo Russell,LAL,LAL,1610.4,464.4,-0.87,-5.76
De'Andre Hunter,Jalen Johnson,ATL,ATL,624.2,473.6,1.2,6.1
Brook Lopez,Giannis Antetokounmpo,MIL,MIL,1501.5,1527.1,0.77,-4.14
P.J. Washington,Luka Dončić,DAL,DAL,715.9,416.0,0.62,5.54
John Collins,Keyonte George,UTA,UTA,1011.1,717.1,-6.66,-1.71
Ivica Zubac,Terance Mann,LAC,LAC,1104.3,329.8,5.79,0.82
Isaiah Stewart,Jaden Ivey,DET,DET,768.4,336.3,1.84,-3.17
Myles Turner,Pascal Siakam,IND,IND,839.1,1547.0,0.43,5.44
LeBron James,Anthony Davis,LAL,LAL,1726.0,904.1,-7.48,-12.5
Clint Capela,Trae Young,ATL,ATL,935.6,927.3,-6.6,-1.57
Goga Bitadze,Jalen Suggs,ORL,ORL,656.0,514.8,-2.81,2.32
Mikal Bridges,Brandon Miller,CHA,CHA,1619.5,312.8,-9.09,-3.95
Kyle Kuzma,Bilal Coulibaly,WAS,WAS,962.8,583.5,-13.55,-18.74
Corey Kispert,Bilal Coulibaly,WAS,WAS,964.8,764.7,-6.88,-1.64
Tyrese Haliburton,Aaron Nesmith,IND,IND,1245.4,762.3,1.85,7.1
Anthony Davis,Rui Hachimura,LAL,LAL,1191.1,906.3,-0.94,-6.2
CJ McCollum,Zion Williamson,NOP,NOP,1350.5,472.0,-5.3,-10.58
Jaylen Brown,Sam Hauser,BOS,BOS,681.8,547.2,4.93,10.25
Scoot Henderson,Toumani Camara,POR,POR,648.9,1115.5,-3.16,2.17
Jalen Green,Alperen Şengün,HOU,HOU,311.1,1816.1,-5.17,0.17
Terry Rozier,Nikola Jović,MIA,MIA,337.2,656.9,2.13,-3.25
Anfernee Simons,Deandre Ayton,POR,POR,783.2,892.9,-4.24,-9.63
Wendell Carter Jr.,Jalen Suggs,ORL,ORL,998.2,402.6,1.71,7.12
Michael Porter Jr.,Peyton Watson,DEN,DEN,484.5,895.0,8.34,2.92
Dennis Schröder,Nic Claxton,BKN,BKN,652.6,387.1,-5.14,0.31
Jarrett Allen,Sam Merrill,CLE,CLE,473.1,493.7,1.67,7.17
Luke Kornet,Payton Pritchard,BOS,BOS,726.2,986.3,9.61,4.1
Cam Reddish,Austin Reaves,LAL,LAL,520.5,335.0,-3.56,1.95
Myles Turner,Andrew Nembhard,IND,IND,1059.9,1368.7,5.38,10.95
LeBron James,Rui Hachimura,LAL,LAL,1034.1,1269.4,2.34,-3.24
Herbert Jones,Trey Murphy III,NOP,NOP,914.1,347.3,6.25,0.59
Donovan Mitchell,Isaac Okoro,CLE,CLE,851.9,505.1,0.82,6.49
Haywood Highsmith,Jaime Jaquez Jr.,MIA,MIA,653.3,479.4,2.16,-3.51
Kawhi Leonard,Ivica Zubac,LAC,LAC,1303.0,959.1,2.91,8.61
Kyrie Irving,Luka Dončić,DAL,DAL,1296.8,500.9,-4.92,0.81
Damian Lillard,Bobby Portis,MIL,MIL,1061.6,645.4,2.68,-3.08
Lauri Markkanen,John Collins,UTA,UTA,1070.7,623.6,-5.79,-0.01
Devin Booker,Grayson Allen,PHX,PHX,1701.9,983.4,1.54,-4.25
Kenrich Williams,Cason Wallace,OKC,OKC,542.3,395.8,7.34,1.55
Desmond Bane,Santi Aldama,MEM,MEM,581.0,858.2,-11.19,-5.39
Nic Claxton,Cameron Johnson,BKN,BKN,1015.1,1048.8,-8.41,-14.25
Fred VanVleet,Alperen Şengün,HOU,HOU,1675.0,1506.2,-4.2,1.71
Jaden Ivey,Jalen Duren,DET,DET,1266.4,491.8,-3.43,-9.35
Nikola Vučević,Patrick Williams,CHI,CHI,741.8,1030.4,2.59,-3.42
Aaron Holiday,Amen Thompson,HOU,HOU,437.2,378.0,-0.41,5.62
Stephen Curry,Moses Moody,GSW,GSW,547.4,816.5,-1.07,5.01
Jayson Tatum,Payton Pritchard,BOS,BOS,927.7,1237.8,7.4,1.31
Jrue Holiday,Payton Pritchard,BOS,BOS,708.7,653.1,7.8,1.68
Precious Achiuwa,Miles McBride,NYK,NYK,617.0,576.0,-7.91,-1.77
Stephen Curry,Andrew Wiggins,GSW,GSW,1457.1,883.4,-0.59,-6.76
Kevon Looney,Moses Moody,GSW,GSW,304.8,366.7,0.76,-5.42
Kevin Durant,Jusuf Nurkić,PHX,PHX,1652.8,422.4,4.34,-1.9
Obi Toppin,Tyrese Haliburton,IND,IND,881.9,852.7,0.09,-6.15
Pascal Siakam,Tyrese Haliburton,IND,IND,888.2,1690.5,-6.16,0.11
Pascal Siakam,Aaron Nesmith,IND,IND,857.5,822.9,4.55,10.88
D'Angelo Russell,Austin Reaves,LAL,LAL,1402.4,367.9,-0.44,5.93
Jrue Holiday,Sam Hauser,BOS,BOS,709.3,420.4,9.35,2.95
Draymond Green,Jonathan Kuminga,GSW,GSW,699.3,444.3,7.4,0.86
Georges Niang,Donovan Mitchell,CLE,CLE,588.0,585.6,4.04,10.64
Joel Embiid,Tyrese Maxey,PHI,PHI,958.1,388.8,-1.67,-8.34
Clint Capela,De'Andre Hunter,ATL,ATL,917.1,312.3,5.34,-1.37
Andrew Wiggins,Trayce Jackson-Davis,GSW,GSW,481.3,579.0,-2.19,-8.91
Luka Dončić,Dereck Lively II,DAL,DAL,1075.1,325.5,-2.63,4.1
