player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Kentavious Caldwell-Pope,Aaron Gordon,DEN,2023-24,11.2,0.048,0.3,3.3,0.6,0.8,3.08,0.057,0.005,3.0,1.3,-1.4,2.7,1854.4
Dorian Finney-Smith,Austin Reaves,LAL,2024-25,11.14,0.107,0.353,4.0,0.6,-0.4,4.93,0.175,0.012,5.0,1.9,-1.5,3.4,877.9
Isaiah Hartenstein,Luguentz Dort,OKC,2024-25,11.02,0.032,0.298,1.2,1.8,3.4,-2.8,0.111,0.013,1.0,3.2,0.2,3.0,958.5
Max Strus,Dean Wade,CLE,2023-24,11.01,0.066,0.268,0.6,1.3,2.3,-5.6,0.114,0.045,1.0,0.1,-0.6,0.7,721.7
Kawhi Leonard,Norman Powell,LAC,2024-25,10.99,0.025,0.535,0.8,0.8,0.4,-3.61,0.051,0.026,2.0,3.1,1.5,1.6,627.9
Pascal Siakam,Andrew Nembhard,IND,2024-25,10.98,0.074,0.4,4.8,0.8,-0.2,7.83,0.07,0.054,6.0,1.7,-2.3,4.0,1327.6
Jaren Jackson Jr.,Zach Edey,MEM,2024-25,10.97,0.118,0.43,1.8,0.7,0.9,0.24,0.043,0.033,2.0,2.3,-0.1,2.4,845.5
Myles Turner,Andrew Nembhard,IND,2024-25,10.95,0.044,0.37,2.6,0.1,0.7,-1.16,0.153,0.067,4.0,0.4,-2.3,2.7,1368.7
Al Horford,Jrue Holiday,BOS,2024-25,10.93,0.02,0.292,0.4,0.1,2.1,-1.3,0.072,0.002,4.0,1.2,0.7,0.5,856.7
Isaiah Joe,Chet Holmgren,OKC,2023-24,10.88,0.053,0.367,0.7,1.8,1.2,-0.42,0.019,0.006,2.0,3.4,0.9,2.5,613.5
Pascal Siakam,Aaron Nesmith,IND,2024-25,10.88,0.066,0.408,2.2,0.0,-1.0,-1.35,0.092,0.054,6.0,1.7,-0.5,2.2,822.9
Aaron Gordon,Michael Porter Jr.,DEN,2024-25,10.66,0.011,0.383,1.1,0.2,-3.2,-13.86,0.059,0.033,2.0,1.2,-0.1,1.3,987.7
Paul George,Norman Powell,LAC,2023-24,10.57,0.071,0.457,2.5,1.4,-1.0,-4.32,0.098,0.013,3.0,3.2,-0.8,4.0,1014.1
Zach Edey,Jaylen Wells,MEM,2024-25,10.56,0.0,0.312,1.0,1.1,-0.9,-0.06,0.023,0.064,2.0,-0.1,-2.2,2.1,889.6
Isaiah Hartenstein,Josh Hart,NYK,2023-24,10.49,0.017,0.249,2.0,1.4,4.2,-5.67,0.037,0.148,3.0,3.5,0.0,3.5,1358.8
Caleb Martin,Jaime Jaquez Jr.,MIA,2023-24,10.41,0.013,0.349,0.0,0.1,0.5,-6.0,0.019,0.043,5.0,-1.9,-2.0,0.1,973.9
Myles Turner,Aaron Nesmith,IND,2024-25,10.4,0.036,0.378,0.0,0.9,-0.1,0.2,0.009,0.041,4.0,0.4,-0.5,0.9,740.6
Draymond Green,Moses Moody,GSW,2024-25,10.34,0.013,0.327,1.4,2.8,2.8,-4.59,0.171,0.044,12.0,0.5,-0.9,1.4,893.1
Darius Garland,Isaac Okoro,CLE,2024-25,10.29,0.141,0.389,5.0,1.4,-0.2,7.99,0.231,0.013,1.0,3.1,-0.5,3.6,610.9
