PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Ryan Dunn,PHO,74,1410,-4.1,-2.9,-1.2,-0.7
Sam Merrill,CLE,71,1401,0.3,-0.4,0.7,0.8
Ayo Dosunmu,CHI,46,1394,-1.6,-1.4,-0.2,0.1
Ty Jerome,CLE,70,1392,4.3,3.5,0.8,2.2
Julian Strawther,DEN,65,1384,-4.5,-3.1,-1.4,-0.9
Nick Smith Jr.,CHO,60,1369,-5.7,-3.2,-2.6,-1.3
Jaime Jaquez Jr.,MIA,66,1368,-0.9,-1.4,0.5,0.4
Nicolas Batum,LAC,78,1367,0.8,-1.2,2.0,1.0
Jose Alvarado,NOP,56,1366,-1.4,-0.6,-0.8,0.2
Jeremy Sochan,SAS,54,1364,-1.2,-0.8,-0.4,0.3
Luke Kornet,BOS,73,1361,3.3,1.6,1.7,1.8
Trey Lyles,SAC,69,1349,-0.7,-0.4,-0.3,0.4
Jake LaRavia,2TM,66,1349,0.2,-0.8,1.1,0.8
Jake LaRavia,MEM,47,982,1.3,-0.2,1.5,0.8
Jake LaRavia,SAC,19,367,-2.7,-2.5,-0.2,-0.1
Bogdan Bogdanović,2TM,54,1348,-2.0,-1.8,-0.2,0.0
Bogdan Bogdanović,ATL,24,598,-4.7,-4.1,-0.6,-0.4
Bogdan Bogdanović,LAC,30,750,0.2,0.1,0.1,0.4
Justin Champagnie,WAS,62,1340,-0.5,-0.3,-0.2,0.5
Paul George,PHI,41,1334,-0.4,-0.5,0.1,0.5
Ausar Thompson,DET,59,1328,1.7,-0.8,2.5,1.2
Donovan Clingan,POR,67,1324,-0.3,-1.7,1.4,0.6
Jordan Hawkins,NOP,56,1321,-5.4,-2.4,-3.0,-1.2
Tyrese Martin,BRK,60,1315,-2.6,-1.4,-1.2,-0.2
Mason Plumlee,PHO,74,1300,-0.6,-1.5,1.0,0.5
Jonathan Mogbo,TOR,63,1286,-1.9,-2.9,1.0,0.0
