PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Keion Brooks Jr.",NOP,24,14,23.7,-20.5,100.7,121.2,0.169,0.581,0.062,0.079,101.63,702,2024-25
"Kel'el Ware",MIA,21,64,22.2,1.9,112.8,110.9,0.169,0.603,0.062,0.119,98.6,2914,2024-25
"Keldon Johnson",SAS,25,77,23.9,-5.8,110.1,115.9,0.207,0.572,0.105,0.103,102.06,3912,2024-25
"Kelly Olynyk",NOP,34,44,20.2,-2.7,110.7,113.4,0.185,0.609,0.2,0.098,100.28,1858,2024-25
"Kelly Oubre Jr.",PHI,29,60,34.6,-5.7,110.7,116.4,0.186,0.551,0.079,0.084,98.68,4266,2024-25
"Kenrich Williams",OKC,30,69,16.4,14.5,118.7,104.1,0.151,0.587,0.111,0.093,101.26,2379,2024-25
"Kentavious Caldwell-Pope",MEM,32,77,29.6,0.5,109.1,108.6,0.121,0.574,0.086,0.065,96.52,4577,2024-25
"Keon Ellis",SAC,25,80,24.4,3,116.1,113.2,0.125,0.664,0.08,0.073,99.07,3997,2024-25
"Keon Johnson",BKN,23,79,24.4,-10.3,104.1,114.4,0.212,0.499,0.148,0.07,98.77,3954,2024-25
"Keshad Johnson",MIA,24,16,6.1,1.3,105.5,104.1,0.145,0.718,0.058,0.114,106.64,219,2024-25
"Kessler Edwards",DAL,24,40,15.2,-12.3,110,122.3,0.11,0.597,0.09,0.067,102.71,1303,2024-25
"Kevin Durant",PHX,36,62,36.5,-1,116.5,117.4,0.283,0.642,0.188,0.142,99.49,4697,2024-25
"Kevin Huerter",CHI,26,69,24.3,2.8,114.5,111.7,0.171,0.544,0.124,0.073,102.32,3581,2024-25
"Kevin Knox II",GSW,25,14,6,-2.9,112.7,115.6,0.202,0.582,0.086,0.104,103.28,181,2024-25
"Kevin Love",MIA,36,23,10.9,-3.6,108.7,112.3,0.23,0.488,0.134,0.109,103.56,540,2024-25
"Kevin McCullar Jr.",NYK,24,4,7.3,-3.1,93.8,96.9,0.118,0.381,0.111,0.066,105.33,64,2024-25
"Kevin Porter Jr.",MIL,25,75,19.8,1.1,109.1,108,0.248,0.531,0.276,0.119,100.63,3104,2024-25
